environment_steps,update,learning_rate,mean_recent_return,policy_loss,value_loss,entropy,jis,alpha_is,ratio_mean,ratio_std,dimension_clipped_fraction,actor_grad_norm,critic_grad_norm,accepted_old_batches,total_training_batches,effective_minibatch_size,mean_replay_score,max_replay_score
2048,1,0.0003,9.469989857092555,-0.013657684544887161,0.43074756232090294,4.252500940859318,0.007409474664746107,2.0,0.9997147684916854,0.06941477919703552,0.011507161635381635,0.7076041506137699,0.04495301940478384,0,1,64,nan,nan
4096,2,0.00027,10.626504154113164,-0.01836717018886702,0.2363793547730893,4.24206066429615,0.0029279810503652836,4.0,0.9994570693001151,0.08716903846943751,0.026806640667200555,0.5353331631049514,0.033495802203833594,1,2,128,1.0559320449829102,1.0559320449829102
6144,3,0.00023999999999999998,20.21028586742963,-0.018000232965277974,0.19753028403501957,4.240654015541077,0.0011170131615330287,8.0,0.999384125135839,0.08671316406689585,0.02648111982125556,0.49048587223514917,0.0425719199643936,2,3,192,1.0533108115196228,1.0795462131500244
8192,4,0.00020999999999999998,11.238004734534242,-0.022668758740110206,0.1394075507298112,4.239001224935055,0.00045131346175397746,16.0,0.9994004487991333,0.08502113432623445,0.027062988284160382,0.47081983610987665,0.045700866053812204,3,4,256,1.0513890584309895,1.093410849571228
10240,5,0.00017999999999999998,28.10812396150712,-0.017834711939576663,0.16317081640008838,4.234482228755951,0.0002190947109526312,32.0,0.9998721899464726,0.05287939446279779,0.006868489576299907,0.5485009883530438,0.06046770567190833,3,4,256,1.0495037734508514,1.103413462638855
12288,6,0.00015,41.954280117996646,-0.016985486669182138,0.15940674680750816,4.232585893571377,6.939670617787065e-05,32.0,0.9999062817543745,0.05067855806555599,0.006806640814829734,0.5673162736929953,0.06616195277892985,4,5,320,1.0457834482192994,1.1085866689682007
14336,7,0.00011999999999999999,23.116158587324865,-0.017203400694415904,0.15683722675312312,4.2311619713902475,6.651663738178743e-05,16.0,0.9999309275299311,0.04935316323535517,0.007074652882874943,0.52757657635957,0.06452253910829313,5,6,384,1.0415521462758381,1.1114368438720703
16384,8,0.0001,27.905159419409124,-0.01960634624301747,0.1671425461769104,4.228197720646858,0.00018673055274265397,32.0,0.9999615995213389,0.052756520209368316,0.009014602164825192,0.44648213251493873,0.06008891010424122,6,7,448,1.0389123473848616,1.114222526550293
18432,9,0.0001,42.784203687992985,-0.023082224252357265,0.16939770677126945,4.2259125173091885,6.34325711694396e-05,16.0,0.9999754069373011,0.05636345124803484,0.010823567724582973,0.4937208443880081,0.05831332459347323,7,8,512,1.0431243628263474,1.1220430135726929
20480,10,0.0001,27.657702082618222,-0.02567965883317811,0.1791868553031236,4.222235026955604,0.00020569320483139526,32.0,1.0000110456719995,0.06166593664092943,0.013505497707228642,0.42323838053271173,0.059392756898887455,8,9,576,1.0423737896813288,1.126125693321228
