environment_steps,update,learning_rate,mean_recent_return,policy_loss,value_loss,entropy,approx_kl,ratio_mean,ratio_std,ratio_outside_fraction,zero_gradient_fraction,actor_grad_norm,critic_grad_norm
2048,1,0.0003,-54.3418993624346,-0.031924836034158945,0.31030522228684276,11.335570448637009,0.011129596550017596,1.002393177524209,0.15866856217006192,0.208349609375,0.156201171875,0.7628690902143717,0.07630310359672876
4096,2,0.00027,-37.25298696920473,-0.03955216763133649,0.0399519357830286,11.292019584774971,0.02088659608270973,0.9933448519557715,0.1551290495591747,0.203857421875,0.15869140625,1.046034426242113,0.04316714149317704
6144,3,0.00023999999999999998,-173.69509520947713,-0.048251411542878486,0.032359862874727696,11.212475734949113,0.023424783442169427,0.9916962929069996,0.15801826327942906,0.219580078125,0.172998046875,1.0329878522083162,0.048989519715541975
8192,4,0.00020999999999999998,-175.42912025473672,-0.042994999905931766,0.026252125587780027,11.149140414595603,0.016188328992575406,0.9958767551928759,0.14256334412798263,0.185791015625,0.147802734375,1.0964577354490757,0.07148797053378075
10240,5,0.00017999999999999998,-34.46750977370521,-0.03642285563400947,0.03168373854714446,11.116717666387558,0.015806684968993068,0.9939214017242193,0.12763598481772842,0.1458984375,0.119873046875,1.1287148943170906,0.09050413558725268
12288,6,0.00015,-150.05403564721513,-0.04487365341046825,0.028591384252649732,11.086861869692802,0.016300832340493798,0.9941129783168435,0.13077000165030928,0.16220703125,0.1341796875,1.1890556808561086,0.09442573734559119
14336,7,0.00011999999999999999,-149.0034827834954,-0.03400674544100184,0.03986468280199915,11.060818979144097,0.01749576849397272,0.9905872426927089,0.11475303625046021,0.1232421875,0.0978515625,1.2412777360528708,0.12126709981821478
16384,8,0.0001,-42.50410211281546,-0.03182652905816212,0.03457294643158093,11.047716680169106,0.011146834865212441,0.9954842759296298,0.10335966624720623,0.097119140625,0.08037109375,1.3005825400352478,0.11784027721732855
18432,9,0.0001,-68.10003190274035,-0.027426129013474566,0.05468132202513516,11.041989654302597,0.0058511432725936174,1.0001210333779453,0.0997214435340851,0.083984375,0.066650390625,1.324386801570654,0.1397143781883642
20480,10,0.0001,-265.33612340560796,-0.037506553207640535,0.015760408825008197,11.021510890126228,0.0011466752039268613,1.0067852683365346,0.11599102536047975,0.117822265625,0.09677734375,1.2407864650711418,0.07912336384179071
