environment_steps,update,learning_rate,mean_recent_return,policy_loss,value_loss,entropy,jis,alpha_is,ratio_mean,ratio_std,dimension_clipped_fraction,actor_grad_norm,critic_grad_norm
2048,1,0.0003,9.469989857092555,-0.014381519310700242,0.43074784777127206,4.251200987398624,0.007284424134695669,2.0,0.9996804108843207,0.06957003593219648,0.011848958444898017,0.686958987172693,0.04513516127335606
4096,2,0.00029385599999999995,20.043764900129567,-0.012361219651938881,0.46420644694007934,4.244172984361649,0.005084753177486365,4.0,1.0007932063192129,0.05811948521371135,0.005761718862049747,0.7676977150142192,0.044749557362229096
6144,3,0.00028771199999999997,12.378943314349197,-0.008870291513449046,0.23791002151556312,4.239285778999329,0.002374231897126596,8.0,1.0006123129278421,0.03915504548810482,0.0017089844230213202,0.7420175208710134,0.063712294830475
8192,4,0.00028156799999999994,16.770290576037432,-0.0028176866413559764,0.29335039416328074,4.232738982141018,0.0007694343578521142,8.0,0.9997327925637365,0.022193801419847392,0.0,0.7850999695248901,0.10052058849250897
10240,5,0.00027542399999999997,16.106615260268082,-0.00350084361853078,0.1892065925290808,4.226975588500499,0.0008775334960120392,8.0,1.000058813393116,0.02317665355498826,4.882812645519152e-05,0.7737998538650572,0.09733636587043293
12288,6,0.00026927999999999994,12.06892237553858,-0.003465819693519734,0.18230240440461784,4.228754535317421,0.0008323135762964437,8.0,0.9995589038357139,0.023060310955757134,1.627604215173051e-05,0.7769126533530653,0.13281709763687105
14336,7,0.00026313599999999997,22.1978875562936,-0.004572845049551688,0.2359474055003375,4.224364638328552,0.0009439224258741901,8.0,1.000375958904624,0.02403230135156458,0.00013020833721384407,0.8062879645265639,0.1669789078645408
16384,8,0.000256992,46.942797254293566,-0.004494245896057692,0.2225506506394595,4.217340369522572,0.0008902148494997111,8.0,0.9996717298403383,0.02348369360858673,3.255208430346102e-05,0.7742514236830175,0.18203413161681964
18432,9,0.00025084799999999997,37.77392816355453,-0.00469445442140568,0.21005321419797837,4.210735161602497,0.000913296237260449,8.0,0.9998492335900664,0.023811137080057554,4.882812645519152e-05,0.8062715459614992,0.19143496400211008
20480,10,0.000244704,45.65900060991747,-0.005038901348598301,0.22129251076839865,4.204390533268452,0.0009654826490561041,8.0,0.9996543375775218,0.02478173711065219,6.510416860692204e-05,0.7711385747417807,0.214066741312854
22528,11,0.00023856,82.89653142388383,-0.004604868437309051,0.2468300090637058,4.198217166960239,0.0009039770554722011,8.0,1.0001616002991796,0.024268784113178565,8.138021075865254e-05,0.8371946555562317,0.23880852521397172
